container,index,name,offset,size_bytes,range_valid,classification
main.13.com.ea.gp.fifaworld.obb,50,data\ant\pc\faceposerbig\faceposer_lib_5471.cba,1451520,8780,True,
main.13.com.ea.gp.fifaworld.obb,51,data\ant\pc\faceposerbig\faceposer_lib_5471.cbac,1460352,5897,True,
main.13.com.ea.gp.fifaworld.obb,52,data\ant\pc\faceposerbig\faceposer_lib_6647.cba,1466304,9004,True,
main.13.com.ea.gp.fifaworld.obb,53,data\ant\pc\faceposerbig\faceposer_lib_6647.cbac,1475328,6044,True,
main.13.com.ea.gp.fifaworld.obb,54,data\ant\pc\faceposerbig\faceposer_lib_7631.cba,1481408,8860,True,
main.13.com.ea.gp.fifaworld.obb,55,data\ant\pc\faceposerbig\faceposer_lib_7631.cbac,1490304,5977,True,
main.13.com.ea.gp.fifaworld.obb,56,data\ant\pc\faceposerbig\faceposer_lib_7743.cba,1496320,8668,True,
main.13.com.ea.gp.fifaworld.obb,57,data\ant\pc\faceposerbig\faceposer_lib_7743.cbac,1505024,5769,True,
main.13.com.ea.gp.fifaworld.obb,58,data\ant\pc\Niscbac\03449714-fff7-4dd9-9eea-9d68e7bcccf3.cbac,1510848,330025,True,
main.13.com.ea.gp.fifaworld.obb,59,data\ant\pc\Niscbac\03861d42-f774-4309-9428-96c885c8456d.cbac,1840896,299628,True,
main.13.com.ea.gp.fifaworld.obb,60,data\ant\pc\Niscbac\03c01e94-9abe-4731-a96e-e411ffa5af76.cbac,2140544,304451,True,
main.13.com.ea.gp.fifaworld.obb,61,data\ant\pc\Niscbac\0791ef83-a10e-4b93-8648-ab4802705c12.cbac,2445056,293898,True,
main.13.com.ea.gp.fifaworld.obb,62,data\ant\pc\Niscbac\08e98d7d-04c4-466f-a1f1-dbdfe5311840.cbac,2739008,39634,True,
main.13.com.ea.gp.fifaworld.obb,63,data\ant\pc\Niscbac\08eedabb-89e6-4a38-a213-1ccaf627663b.cbac,2778688,4979,True,
main.13.com.ea.gp.fifaworld.obb,64,data\ant\pc\Niscbac\095a0a09-08fc-4623-830c-97521e95704d.cbac,2783680,48569,True,
main.13.com.ea.gp.fifaworld.obb,65,data\ant\pc\Niscbac\098655e6-8f57-4b45-8f44-cfcfcfe7da81.cbac,2832256,220260,True,
main.13.com.ea.gp.fifaworld.obb,66,data\ant\pc\Niscbac\09f8aa25-303a-4e71-89ba-c7b3605a4666.cbac,3052544,535559,True,
main.13.com.ea.gp.fifaworld.obb,67,data\ant\pc\Niscbac\0a39df4b-5ab9-498f-8cda-e378cd89b114.cbac,3588160,163592,True,
main.13.com.ea.gp.fifaworld.obb,68,data\ant\pc\Niscbac\0a746894-c704-4bd0-a67e-8c7b626fd691.cbac,3751808,189658,True,
main.13.com.ea.gp.fifaworld.obb,69,data\ant\pc\Niscbac\0bb31ba6-a7ed-4f86-b9cb-647846c5952f.cbac,3941504,361773,True,
main.13.com.ea.gp.fifaworld.obb,70,data\ant\pc\Niscbac\0cb9f9e2-7b62-42da-a505-25d8750466ce.cbac,4303296,346975,True,
main.13.com.ea.gp.fifaworld.obb,71,data\ant\pc\Niscbac\0cd75a7a-325e-4ced-a25c-24a7e33891dd.cbac,4650304,128857,True,
main.13.com.ea.gp.fifaworld.obb,72,data\ant\pc\Niscbac\0e33f13f-4ce3-413b-b5ed-804a64743341.cbac,4779200,130890,True,
main.13.com.ea.gp.fifaworld.obb,73,data\ant\pc\Niscbac\0fa43371-552a-4a09-9de0-160442f373d8.cbac,4910144,6562,True,
main.13.com.ea.gp.fifaworld.obb,74,data\ant\pc\Niscbac\1078850b-53c7-447b-b816-e917f41a267f.cbac,4916736,108079,True,
main.13.com.ea.gp.fifaworld.obb,75,data\ant\pc\Niscbac\109e2b96-4f3f-4a53-b2b3-a18f014175d6.cbac,5024832,93777,True,
main.13.com.ea.gp.fifaworld.obb,76,data\ant\pc\Niscbac\11a8c418-200a-4919-a956-ff6961f72a93.cbac,5118656,4674,True,
main.13.com.ea.gp.fifaworld.obb,77,data\ant\pc\Niscbac\146025d2-63a8-484a-b0f8-4cf3149c5d8b.cbac,5123392,6545,True,
main.13.com.ea.gp.fifaworld.obb,78,data\ant\pc\Niscbac\174d5ac7-89a0-46a2-87a3-fc57b01fc2be.cbac,5129984,6544,True,
main.13.com.ea.gp.fifaworld.obb,79,data\ant\pc\Niscbac\17c72359-6e70-4c84-b03d-5e8f5641b3b2.cbac,5136576,71624,True,
main.13.com.ea.gp.fifaworld.obb,80,data\ant\pc\Niscbac\17d090dc-c0ec-4d25-ada2-5c37fb41f992.cbac,5208256,35419,True,
main.13.com.ea.gp.fifaworld.obb,81,data\ant\pc\Niscbac\17fab4d3-93de-43a3-927f-060ee31c65ea.cbac,5243712,291182,True,
main.13.com.ea.gp.fifaworld.obb,82,data\ant\pc\Niscbac\18cd72b2-8958-4e0e-a356-02bba8bd839e.cbac,5534912,161440,True,
main.13.com.ea.gp.fifaworld.obb,83,data\ant\pc\Niscbac\18f4ea94-0c58-4c8b-bb7f-1a18ee9007a7.cbac,5696384,622662,True,
main.13.com.ea.gp.fifaworld.obb,84,data\ant\pc\Niscbac\19ae2fe7-ea4a-4f76-ae86-5145affd9ccc.cbac,6319104,234831,True,
main.13.com.ea.gp.fifaworld.obb,85,data\ant\pc\Niscbac\1ae25624-2cfa-4c3c-9d39-050362ee262c.cbac,6553984,371403,True,
main.13.com.ea.gp.fifaworld.obb,86,data\ant\pc\Niscbac\1bc831c9-0447-4c12-9361-b9f540d71bcc.cbac,6925440,265230,True,
main.13.com.ea.gp.fifaworld.obb,87,data\ant\pc\Niscbac\1d09a6c1-772f-4733-9df0-ceb5a3b690e7.cbac,7190720,466118,True,
main.13.com.ea.gp.fifaworld.obb,88,data\ant\pc\Niscbac\1e0a9492-8767-49b8-892e-9cc0ceda1b50.cbac,7656896,4814,True,
main.13.com.ea.gp.fifaworld.obb,89,data\ant\pc\Niscbac\1e4bf137-db36-42ce-82eb-da0fabf19371.cbac,7661760,467254,True,
main.13.com.ea.gp.fifaworld.obb,90,data\ant\pc\Niscbac\1e5150d0-8009-42fc-84c8-6387cec0079f.cbac,8129024,386957,True,
main.13.com.ea.gp.fifaworld.obb,91,data\ant\pc\Niscbac\1f41bde9-1178-49e9-a7ef-90a388a8de9d.cbac,8516032,84842,True,
main.13.com.ea.gp.fifaworld.obb,92,data\ant\pc\Niscbac\22db9177-938f-4df6-8498-7daded97794f.cbac,8600896,30913,True,
main.13.com.ea.gp.fifaworld.obb,93,data\ant\pc\Niscbac\2530b4c3-a7dc-4506-a6f3-55830ef079ad.cbac,8631872,31567,True,
main.13.com.ea.gp.fifaworld.obb,94,data\ant\pc\Niscbac\25f27528-c6da-4716-891f-fba9523c1702.cbac,8663488,139617,True,
main.13.com.ea.gp.fifaworld.obb,95,data\ant\pc\Niscbac\26e5ea25-e9d7-438d-b107-6408e44953c6.cbac,8803136,6545,True,
main.13.com.ea.gp.fifaworld.obb,96,data\ant\pc\Niscbac\2812ee1f-958b-493d-8d8e-e21f44888d86.cbac,8809728,334757,True,
